text,value
GOLD     B312,GOLD    | B00312  
GOLD     B313,GOLD    | B00313  
GOLD     B413,GOLD    | B00413  
GONDA    1357,GONDA   |  01357  
GONDA    2303,GONDA   |  02303  
GONDA    3303,GONDA   |  03303  
GONDA    4303,GONDA   |  04303  
GONDA    5303,GONDA   |  05303  
GONDA    6303,GONDA   |  06303  
GSEIS    102,GSEIS   |  00102  
GSEIS    111,GSEIS   |  00111  
GSEIS    118,GSEIS   |  00118  
GSEIS    121,GSEIS   |  00121  
GSEIS    202,GSEIS   |  00202  
GSEIS    228,GSEIS   |  00228  
GSEIS    245,GSEIS   |  00245  
HAINES   39,HAINES  |  00039  
HAINES   102,HAINES  |  00102  
HAINES   110,HAINES  |  00110  
HAINES   118,HAINES  |  00118  
HAINES   122,HAINES  |  00122  
HAINES   153,HAINES  |  00153  
HAINES   179,HAINES  |  00179  
HAINES   215,HAINES  |  00215  
HAINES   220,HAINES  |  00220  
HAINES   279,HAINES  |  00279  
HAINES   310,HAINES  |  00310  
HAINES   314,HAINES  |  00314  
HAINES   332,HAINES  |  00332  
HAINES   350,HAINES  |  00350  
HAINES   352,HAINES  |  00352  
HAINES   A2,HAINES  | A00002  
HAINES   A6,HAINES  | A00006  
HAINES   A18,HAINES  | A00018  
HAINES   A20,HAINES  | A00020  
HAINES   A24,HAINES  | A00024  
HAINES   A25,HAINES  | A00025  
HAINES   A28,HAINES  | A00028  
HAINES   A33,HAINES  | A00033  
HAINES   A37,HAINES  | A00037  
HAINES   A44,HAINES  | A00044  
HAINES   A74,HAINES  | A00074  
HAINES   A76,HAINES  | A00076  
HAINES   A78,HAINES  | A00078  
HAINES   A82,HAINES  | A00082  
HEDRICK  115,HEDRICK |  00115  
HEDRICK  134,HEDRICK |  00134  
HERSHEY  148,HERSHEY |  00148  
HERSHEY  150,HERSHEY |  00150  
HERSHEY  158,HERSHEY |  00158  
HERSHEY  164,HERSHEY |  00164  
HERSHEY  168,HERSHEY |  00168  
HITCH    100,HITCH   |  00100  
HITCH    A11,HITCH   | A00011  
HLTHSCI  12077D,HLTHSCI |  12077D 
HLTHSCI  12077X,HLTHSCI |  12077X 
HLTHSCI  13105A,HLTHSCI |  13105A 
HLTHSCI  13265,HLTHSCI |  13265  
HLTHSCI  14214U,HLTHSCI |  14214U 
HLTHSCI  16145,HLTHSCI |  16145  
HLTHSCI  16154,HLTHSCI |  16154  
HLTHSCI  17187,HLTHSCI |  17187  
HLTHSCI  17256,HLTHSCI |  17256  
HLTHSCI  17323,HLTHSCI |  17323  
HLTHSCI  17364,HLTHSCI |  17364  
HLTHSCI  22096,HLTHSCI |  22096  
HLTHSCI  23105A,HLTHSCI |  23105A 
HLTHSCI  24132,HLTHSCI |  24132  
HLTHSCI  33105A,HLTHSCI |  33105A 
HLTHSCI  33245,HLTHSCI |  33245  
HLTHSCI  43105A,HLTHSCI |  43105A 
HLTHSCI  51279,HLTHSCI |  51279  
HLTHSCI  52087,HLTHSCI |  52087  
HLTHSCI  53105A,HLTHSCI |  53105A 
HLTHSCI  63105A,HLTHSCI |  63105A 
HLTHSCI  63127,HLTHSCI |  63127  
HLTHSCI  63214,HLTHSCI |  63214  
HLTHSCI  72181,HLTHSCI |  72181  
HLTHSCI  73105A,HLTHSCI |  73105A 
HLTHSCI  73167A,HLTHSCI |  73167A 
HLTHSCI  73235,HLTHSCI |  73235  
HLTHSCI  73240,HLTHSCI |  73240  
HLTHSCI  A2125,HLTHSCI | A02125  
HLTHSCI  A2342,HLTHSCI | A02342  
HLTHSCI  B2161,HLTHSCI | B02161  
HLTHSCI  B8225,HLTHSCI | B08225  
HLTHSCI  BH173,HLTHSCI |BH00173  
HLTHSCI  BL420,HLTHSCI |BL00420  
HLTHSCI  IP151,HLTHSCI |IP00151  
HUMANTS  109,HUMANTS |  00109  
HUMANTS  135,HUMANTS |  00135  
HUMANTS  136,HUMANTS |  00136  
HUMANTS  169,HUMANTS |  00169  
HUMANTS  222B,HUMANTS |  00222B 
HUMANTS  305,HUMANTS |  00305  
HUMANTS  307,HUMANTS |  00307  
HUMANTS  311,HUMANTS |  00311  
HUMANTS  348,HUMANTS |  00348  
HUMANTS  367,HUMANTS |  00367  
HUMANTS  370,HUMANTS |  00370  
HUMANTS  372,HUMANTS |  00372  
HUMANTS  376C,HUMANTS |  00376C 
HUMANTS  380,HUMANTS |  00380  
HUMANTS  A26,HUMANTS | A00026  
HUMANTS  A30,HUMANTS | A00030  
HUMANTS  A32,HUMANTS | A00032  
HUMANTS  A40,HUMANTS | A00040  
HUMANTS  A46,HUMANTS | A00046  
HUMANTS  A48,HUMANTS | A00048  
HUMANTS  A51,HUMANTS | A00051  
HUMANTS  A56,HUMANTS | A00056  
HUMANTS  A60,HUMANTS | A00060  
HUMANTS  A65,HUMANTS | A00065  
HUMANTS  A66,HUMANTS | A00066  
HUMANTS  A68,HUMANTS | A00068  
HUMANTS  A82,HUMANTS | A00082  
JWEST    0GP,JWEST   |  00000GP
KAPLAN   109,KAPLAN  |  00109  
KAPLAN   126A,KAPLAN  |  00126A 
KAPLAN   135,KAPLAN  |  00135  
KAPLAN   169,KAPLAN  |  00169  
KAPLAN   222B,KAPLAN  |  00222B 
KAPLAN   304,KAPLAN  |  00304  
KAPLAN   305,KAPLAN  |  00305  
KAPLAN   307,KAPLAN  |  00307  
