title,start,end,lecture,enrollment,enroll_total,enroll_capacity,mult_list_flag,multi_header,multi_list_classes,meet_bdg,meet_rm,Subj_Area,Days_in_week,strt_time,stop_time,fac_capacity,start_date
MCD BIO M272    ,2014-11-11T10:00:00,2014-11-11T11:50:00,LEC 1,Enr: 14 of 22,14,12,y,Multiple-Listed Class,"['Molecular, Cell, and Developmental Biology (MCD BIO) M272 - Stem Cell Biology and Regenerative Medicine', 'Pathology and Laboratory Medicine (PATH) M272 - Stem Cell Biology and Regenerative Medicine']",BIO SCI ,  00483  ,MCD BIO,TR     ,10:00:00,11:50:00,12,1/7/2008 12:00:00 AM
MCD BIO M272    ,2014-11-13T10:00:00,2014-11-13T11:50:00,LEC 1,Enr: 14 of 22,14,12,y,Multiple-Listed Class,"['Molecular, Cell, and Developmental Biology (MCD BIO) M272 - Stem Cell Biology and Regenerative Medicine', 'Pathology and Laboratory Medicine (PATH) M272 - Stem Cell Biology and Regenerative Medicine']",BIO SCI ,  00483  ,MCD BIO,TR     ,10:00:00,11:50:00,12,1/7/2008 12:00:00 AM
C&EE    135L    ,2014-11-13T09:00:00,2014-11-13T11:50:00,LAB 1A,Enr: 22 of 22,22,22,n,,[],BOELTER ,  01567  ,C&EE   ,R      ,09:00:00,11:50:00,24,9/26/1991 12:00:00 AM
C&EE    135L    ,2014-11-11T09:00:00,2014-11-11T10:50:00,LAB 1A,Enr: 22 of 22,22,22,n,,[],BOELTER ,  01567  ,C&EE   ,T      ,09:00:00,10:50:00,24,9/26/1991 12:00:00 AM
C&EE    129L    ,2014-11-14T10:00:00,2014-11-14T13:50:00,LAB 1A,Enr: 21 of 21,21,21,n,,[],BOELTER ,  01567  ,C&EE   ,F      ,10:00:00,13:50:00,24,9/26/1991 12:00:00 AM
C&EE    243B    ,2014-11-11T08:00:00,2014-11-11T09:50:00,LEC 1,Enr: 36 of 50,36,50,n,,[],BOELTER ,  02444  ,C&EE   ,TR     ,08:00:00,09:50:00,80,1/3/2018 12:00:00 AM
C&EE    243B    ,2014-11-13T08:00:00,2014-11-13T09:50:00,LEC 1,Enr: 36 of 50,36,50,n,,[],BOELTER ,  02444  ,C&EE   ,TR     ,08:00:00,09:50:00,80,1/3/2018 12:00:00 AM
CCAS    143     ,2014-11-10T08:00:00,2014-11-10T09:50:00,LEC 1,Enr: 77 of 120,77,120,n,,[],BOELTER ,  02444  ,CCAS   ,MW     ,08:00:00,09:50:00,80,1/3/2018 12:00:00 AM
CCAS    143     ,2014-11-12T08:00:00,2014-11-12T09:50:00,LEC 1,Enr: 77 of 120,77,120,n,,[],BOELTER ,  02444  ,CCAS   ,MW     ,08:00:00,09:50:00,80,1/3/2018 12:00:00 AM
ENGR    96C     ,2014-11-14T09:00:00,2014-11-14T09:50:00,LEC 1,Enr: 46 of 0,46,0,n,,[],BOELTER ,  02444  ,ENGR   ,F      ,09:00:00,09:50:00,80,1/3/2018 12:00:00 AM
COM SCI M151B   ,2014-11-10T10:00:00,2014-11-10T11:50:00,LEC 1,Enr: 62 of 80,62,80,y,Multiple-Listed Class,"['Computer Science (COM SCI) M151B - Computer Systems Architecture', 'Electrical and Computer Engineering (EC ENGR) M116C - Computer Systems Architecture']",BOELTER ,  02444  ,COM SCI,MW     ,10:00:00,11:50:00,80,1/3/2018 12:00:00 AM
