33,MECH&AE 252E    ,LEC 1,29,30,BOELTER ,4760,MECH&AE,TR     ,10:00:00,11:50:00,70
33,MECH&AE 252E    ,LEC 1,29,30,BOELTER ,4760,MECH&AE,TR     ,10:00:00,11:50:00,70
33,COM SCI 263     ,LEC 1,73,0,BOELTER ,4760,COM SCI,MW     ,12:00:00,13:50:00,70
33,COM SCI 263     ,LEC 1,73,0,BOELTER ,4760,COM SCI,MW     ,12:00:00,13:50:00,70
33,MECH&AE C150R   ,DIS 1A,54,55,BOELTER ,4760,MECH&AE,F      ,12:00:00,13:50:00,70
33,C&EE    C159    ,LEC 1,58,59,BOELTER ,4760,C&EE   ,TR     ,16:00:00,17:50:00,70
33,C&EE    C159    ,LEC 1,58,59,BOELTER ,4760,C&EE   ,TR     ,16:00:00,17:50:00,70
33,C&EE    170     ,DIS 1A,46,65,BOELTER ,4760,C&EE   ,F      ,16:00:00,17:50:00,70
33,EC ENGR 215E    ,LEC 1,42,65,BOELTER ,4760,EC ENGR,MW     ,16:00:00,17:50:00,70
33,EC ENGR 215E    ,LEC 1,42,65,BOELTER ,4760,EC ENGR,MW     ,16:00:00,17:50:00,70
33,C&EE    170     ,LEC 1,46,65,BOELTER ,4760,C&EE   ,TR     ,18:00:00,19:50:00,70
33,C&EE    170     ,LEC 1,46,65,BOELTER ,4760,C&EE   ,TR     ,18:00:00,19:50:00,70
34,C&EE    C159    ,DIS 1A,58,59,BOELTER ,5249,C&EE   ,F      ,8:00:00,9:50:00,92
34,EC ENGR 239AS   ,LEC 1,44,60,BOELTER ,5249,EC ENGR,MW     ,8:00:00,9:50:00,92
34,EC ENGR 239AS   ,LEC 1,44,60,BOELTER ,5249,EC ENGR,MW     ,8:00:00,9:50:00,92
34,MECH&AE 133A    ,LEC 1,63,80,BOELTER ,5249,MECH&AE,TR     ,8:00:00,9:50:00,92
34,MECH&AE 133A    ,LEC 1,63,80,BOELTER ,5249,MECH&AE,TR     ,8:00:00,9:50:00,92
34,BIOENGR 176     ,LEC 1,77,75,BOELTER ,5249,BIOENGR,MW     ,10:00:00,11:50:00,92
34,BIOENGR 176     ,LEC 1,77,75,BOELTER ,5249,BIOENGR,MW     ,10:00:00,11:50:00,92
34,MECH&AE 103     ,DIS 1B,73,75,BOELTER ,5249,MECH&AE,F      ,10:00:00,11:50:00,92
34,MECH&AE 156A    ,LEC 1,88,92,BOELTER ,5249,MECH&AE,TR     ,10:00:00,11:50:00,92
